,,,Corsi (EV),,,Fenwick (EV),,,PDO (EV),,,Zone Starts (EV),,,,,,
Rk,Tm,Season,CF,CA,CF%,FF,FA,FF%,oiSH%,oiSV%,PDO,oZS%,dZS%,FOW,FOL,FO%,HIT,BLK
1,TOR,2018-19,4588,4313,51.5,3359,3347,50.1,10.2,91.6,101.8,50.4,49.6,2239,1971,53.2,1347,966
2,MTL,2018-19,4542,3880,53.9,3287,2881,53.3,8.7,91.2,99.9,51.7,48.3,1991,2084,48.9,2096,999
3,CAR,2018-19,4521,3720,54.9,3428,2811,54.9,8,91.5,99.5,53.6,46.4,2019,2071,49.4,1956,909
4,CAR,2017-18,4487,3727,54.6,3291,2866,53.5,7.6,90.1,97.7,56.7,43.3,2172,1867,53.8,1528,861
5,CHI,2017-18,4458,4018,52.6,3125,2994,51.1,7.7,91.2,98.9,55.5,44.5,2021,2105,49,1315,1024
6,VEG,2018-19,4424,3669,54.7,3237,2710,54.4,8.3,90.9,99.2,54.3,45.7,2057,2012,50.6,2163,959
7,CGY,2017-18,4363,3836,53.2,3283,2905,53.1,7.3,91,98.3,51.8,48.2,2028,2028,50,1574,931
8,SJS,2013-14,4354,3803,53.4,3228,2729,54.2,7.9,92.1,100.1,49.1,50.9,2249,2024,52.6,1553,1074
9,LAK,2015-16,4322,3382,56.1,3234,2551,55.9,7.8,92.6,100.4,55.7,44.3,2037,2037,50,2322,831
10,NYI,2014-15,4321,3867,52.8,3181,2715,54,8.1,91.2,99.2,52.7,47.3,1974,2017,49.5,2571,1152
11,CHI,2014-15,4266,3631,54,3096,2740,53.1,7.4,93.2,100.6,54.7,45.3,2100,1954,51.8,1304,891
12,DAL,2015-16,4260,3889,52.3,3127,2852,52.3,9,91.5,100.4,50.9,49.1,2144,2071,50.9,1467,1037
13,EDM,2017-18,4253,4104,50.9,3198,3024,51.4,8.1,91.1,99.2,52.6,47.4,1992,2116,48.5,2028,1080
14,SJS,2018-19,4246,3615,54,3163,2673,54.2,9.9,89.3,99.2,53.3,46.7,1968,1923,50.6,1496,942
15,CBJ,2017-18,4239,4009,51.4,3253,2952,52.4,8.1,92.3,100.4,52.2,47.8,2027,2152,48.5,1652,1057
16,TOR,2017-18,4221,4199,50.1,3108,3250,48.9,9.4,92.2,101.6,47.8,52.2,2288,2087,52.3,1563,949
17,DAL,2014-15,4217,3890,52,3095,2839,52.2,9.1,90,99.1,51.3,48.7,2260,2095,51.9,1536,1051
18,SJS,Dec-11,4194,3873,52,3125,2749,53.2,7,92.4,99.4,51,49,2072,1847,52.9,1496,1124
19,SJS,2017-18,4193,4128,50.4,3132,2905,51.9,8.4,90.9,99.2,50.9,49.1,2090,1993,51.2,1303,1223
20,BOS,Dec-11,4186,3597,53.8,3084,2697,53.3,9.3,92.3,101.6,52.1,47.9,2119,1743,54.9,1640,900
21,TOR,2016-17,4181,4087,50.6,3119,3131,49.9,8.6,91.7,100.3,49,51,2070,2072,50,1823,956
22,PIT,2017-18,4180,3825,52.2,3190,2829,53,8.3,90.8,99,53.4,46.6,2110,2119,49.9,1832,996
23,CGY,2018-19,4152,3568,53.8,3062,2698,53.2,10,91.3,101.3,53.4,46.6,2032,1836,52.5,1177,870
24,LAK,2016-17,4150,3432,54.7,3056,2551,54.5,6.9,91,97.9,56.3,43.7,2087,1976,51.4,2172,881
25,MTL,2016-17,4149,3761,52.5,2997,2733,52.3,8,92.8,100.9,48.6,51.4,2122,2032,51.1,1739,1028
26,BOS,2016-17,4147,3421,54.8,3123,2523,55.3,7.5,90.8,98.4,53.3,46.7,2197,1904,53.6,1665,898
27,MTL,2017-18,4141,4077,50.4,2977,2949,50.2,6.7,91.4,98.1,50.7,49.3,1947,2154,47.5,2062,1128
28,VEG,2017-18,4141,3952,51.2,3076,2940,51.1,9.3,91.7,101,52.1,47.9,2004,2101,48.8,1666,1012
29,LAK,2013-14,4134,3159,56.7,3070,2414,56,7,93.4,100.4,54.7,45.3,2007,1772,53.1,2374,745
30,OTT,2013-14,4134,3865,51.7,3130,3085,50.4,7.8,91.9,99.7,51,49,2101,1965,51.7,2149,780
31,PIT,Dec-11,4127,3436,54.6,3095,2561,54.7,9,90.6,99.7,54.9,45.1,1988,1913,51,1934,875
32,CHI,2013-14,4126,3282,55.7,3043,2435,55.5,8.8,91.2,100,55.7,44.3,2065,1904,52,1294,847
33,PIT,2018-19,4123,4190,49.6,3117,3124,49.9,8.8,92.3,101.1,48.1,51.9,2063,2049,50.2,2218,1066
34,BOS,2017-18,4120,3605,53.3,3102,2712,53.4,8.9,91.7,100.5,55.4,44.6,2106,2046,50.7,1814,893
35,CAR,2014-15,4117,3762,52.3,3016,2795,51.9,6.3,90.4,96.7,52.9,47.1,2152,1924,52.8,1833,967
36,STL,2017-18,4116,3852,51.7,3056,2746,52.7,8.1,91.9,100,49.4,50.6,2066,2005,50.7,1801,1106
37,SJS,Nov-10,4109,3596,53.3,3059,2655,53.5,7.7,92.5,100.3,49.8,50.2,1955,1740,52.9,1714,941
38,SJS,2014-15,4109,3935,51.1,2966,2854,51,7.7,91.6,99.2,48.4,51.6,2071,2060,50.1,1819,1081
39,NSH,2018-19,4109,3772,52.1,3103,2829,52.3,8.6,92.3,100.9,51,49,2104,1927,52.2,1431,943
40,NSH,2014-15,4103,3692,52.6,3034,2697,52.9,8.2,92.2,100.4,51.3,48.7,2105,2204,48.9,1608,995
41,TBL,2017-18,4086,3845,51.5,3079,2916,51.4,9.8,92.4,102.2,52.4,47.6,1982,2122,48.3,1629,929
42,BOS,2018-19,4086,3628,53,3128,2709,53.6,8.2,92.4,100.6,54,46,2009,1992,50.2,1771,919
43,NYR,2013-14,4082,3730,52.3,3057,2789,52.3,6.9,92.8,99.7,52,48,1962,2053,48.9,1805,941
44,TOR,2015-16,4070,3810,51.6,2986,2967,50.2,7.3,91.4,98.7,50.2,49.8,2090,2072,50.2,1960,843
45,BOS,Nov-10,4067,3948,50.7,2992,2964,50.2,8.5,93.8,102.3,48.2,51.8,1974,1820,52,1612,984
46,BOS,2013-14,4067,3519,53.6,3019,2666,53.1,9.1,93.9,103,53.7,46.3,2084,1979,51.3,1867,853
47,NSH,2017-18,4064,3891,51.1,3028,2895,51.1,8.9,93.2,102.1,48.3,51.7,2250,1917,54,1561,996
48,DAL,2016-17,4061,4025,50.2,2965,2888,50.7,8.2,90.9,99.1,46.9,53.1,2103,2104,50,1461,1137
49,LAK,2014-15,4060,3392,54.5,3014,2604,53.6,7.8,91.8,99.6,53.9,46.1,1981,1962,50.2,2438,788
50,CHI,2018-19,4053,4134,49.5,2962,3148,48.5,9.4,90.7,100.1,52.1,47.9,1940,1996,49.3,1285,986
51,FLA,2017-18,4039,4151,49.3,3147,3140,50.1,8.1,91.7,99.9,45.5,54.5,2181,2095,51,1596,1011
52,ARI,2017-18,4038,4330,48.3,2910,3288,47,8,91.3,99.2,46.9,53.1,2042,2220,47.9,1902,1042
53,CAR,2013-14,4035,4009,50.2,2972,3041,49.4,7.3,91.9,99.2,51.6,48.4,2142,1937,52.5,1711,968
54,CAR,2016-17,4035,3841,51.2,2956,2910,50.4,7.6,90.7,98.3,54.7,45.3,2001,1820,52.4,1549,931
55,OTT,Dec-11,4030,3724,52,2954,2844,50.9,8.6,91.8,100.4,54.6,45.4,1920,1889,50.4,1852,880
56,PIT,2015-16,4028,3600,52.8,3014,2682,52.9,8.1,92.4,100.4,51.4,48.6,2125,2075,50.6,1829,918
57,DET,Nov-10,4026,3505,53.5,3113,2770,52.9,8.3,91.4,99.7,51.5,48.5,1962,1840,51.6,1651,735
58,NSH,2016-17,4020,3840,51.1,2974,2884,50.8,8.2,91.9,100.1,49.6,50.4,2145,2019,51.5,1599,956
59,TBL,2018-19,4015,3834,51.2,3039,2915,51,10.5,91.7,102.3,49.8,50.2,2057,1948,51.4,2015,919
60,BOS,2014-15,4007,3678,52.1,2936,2811,51.1,7.7,92.6,100.3,50.2,49.8,2170,1868,53.7,1978,867
61,MIN,2018-19,4007,3876,50.8,3011,2823,51.6,7.2,90.7,97.8,50.6,49.4,1959,2035,49,1519,1053
62,PIT,2016-17,4004,4024,49.9,3023,2914,50.9,9.3,92.3,101.6,52.6,47.4,2004,2213,47.5,1944,1110
