,,,Corsi (EV),,,Fenwick (EV),,,PDO (EV),,,Zone Starts (EV),,,,,,
Rk,Tm,Season,CF,CA,CF%,FF,FA,FF%,oiSH%,oiSV%,PDO,oZS%,dZS%,FOW,FOL,FO%,HIT,BLK
1,VEG,2020-21,2250,1948,53.6,1613,1391,53.7,10.5,92.3,102.9,54.6,45.4,981,992,49.7,919,557
2,COL,2020-21,2245,1605,58.3,1636,1197,57.7,9.7,91.4,101.1,55.7,44.3,1024,937,52.2,623,408
3,MTL,2020-21,2186,1803,54.8,1589,1346,54.1,8.2,91.2,99.4,52.9,47.1,949,981,49.2,1122,457
4,CAR,2020-21,2148,1817,54.2,1634,1398,53.9,8.3,92.3,100.6,51.1,48.9,1156,968,54.4,946,419
5,NSH,2020-21,2121,2071,50.6,1643,1570,51.1,7.5,92.2,99.8,49.5,50.5,1109,1009,52.4,870,501
6,OTT,2020-21,2114,2222,48.8,1620,1669,49.3,8.1,89.5,97.6,43.2,56.8,1011,1024,49.7,1219,553
7,TOR,2020-21,2105,2022,51,1609,1513,51.5,10.1,91.9,102.1,52.9,47.1,1017,970,51.2,734,509
8,NJD,2020-21,2092,1891,52.5,1581,1517,51,8.2,90.6,98.8,47.6,52.4,1005,1074,48.3,682,374
9,FLA,2020-21,2080,1925,51.9,1618,1489,52.1,8.7,91.7,100.4,50.1,49.9,1057,1080,49.5,1036,436
10,CGY,2020-21,2053,1880,52.2,1527,1439,51.5,7.9,90.6,98.5,53.9,46.1,964,957,50.2,915,441
11,ANA,2020-21,2038,2195,48.1,1496,1647,47.6,8.5,90.6,99.1,49.1,50.9,1105,1037,51.6,1031,548
12,BOS,2020-21,2020,1783,53.1,1582,1356,53.8,7.2,91.3,98.6,53.1,46.9,1054,871,54.8,1002,427
13,SJS,2020-21,2017,2101,49,1534,1568,49.5,8.2,89.7,97.9,48,52,969,1022,48.7,939,533
14,PHI,2020-21,2012,1895,51.5,1504,1447,51,9.1,89.1,98.2,50.5,49.5,1085,986,52.4,954,448
15,CBJ,2020-21,2005,2321,46.3,1535,1736,46.9,8.1,90.2,98.3,49.2,50.8,978,1159,45.8,993,585
16,WSH,2020-21,2003,2100,48.8,1513,1606,48.5,11.5,90.5,102,51.1,48.9,1038,1098,48.6,1013,494
17,DAL,2020-21,1993,1827,52.2,1467,1367,51.8,8.3,92.2,100.5,50.7,49.3,1040,998,51,1018,460
18,PIT,2020-21,1985,1942,50.5,1524,1471,50.9,10.2,91.7,101.9,50.2,49.8,1035,1039,49.9,1017,471
19,WPG,2020-21,1965,2136,47.9,1476,1609,47.8,9.8,91.9,101.7,51.3,48.7,960,1011,48.7,941,527
20,NYI,2020-21,1957,2047,48.9,1499,1502,50,9,92.2,101.2,47.9,52.1,1023,964,51.5,1113,545
21,TBL,2020-21,1937,1810,51.7,1484,1391,51.6,10.1,91.6,101.7,55.1,44.9,970,985,49.6,973,419
22,BUF,2020-21,1930,2165,47.1,1505,1720,46.7,7.5,90.1,97.5,48.9,51.1,1015,1024,49.8,780,445
23,ARI,2020-21,1915,2102,47.7,1418,1567,47.5,8.7,90.5,99.2,47.7,52.3,948,1034,47.8,1050,535
24,CHI,2020-21,1893,2143,46.9,1384,1617,46.1,8.3,91.8,100.1,48.1,51.9,965,1078,47.2,827,526
25,EDM,2020-21,1886,2019,48.3,1421,1505,48.6,9.6,91.6,101.1,50.2,49.8,921,936,49.6,1047,514
26,STL,2020-21,1875,1951,49,1377,1451,48.7,8.8,90.5,99.2,51.1,48.9,1025,918,52.8,886,500
27,NYR,2020-21,1866,2042,47.7,1431,1520,48.5,10.5,91.6,102.1,50.9,49.1,872,1071,44.9,993,522
28,DET,2020-21,1843,2106,46.7,1417,1614,46.8,8.2,90.7,98.9,46.4,53.6,1019,1017,50,780,492
29,LAK,2020-21,1808,1911,48.6,1395,1464,48.8,8,90.2,98.2,50.4,49.6,906,870,51,750,447
30,MIN,2020-21,1768,2103,45.7,1356,1540,46.8,11,91.7,102.6,44,56,942,1090,46.4,666,563
31,VAN,2020-21,1696,1923,46.9,1282,1443,47,8.1,91.5,99.6,45.2,54.8,904,847,51.6,738,480
